FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,exploitation_nom,exploitation_annee,terrain,geometry
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e19,Maritime,Avé,Avé 1,Kévé,LOOME,Plantation de Palmier Tagan,2002,Prive - individuel,POINT (1.0095325655156673 6.493872633868802)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e1a,Maritime,Avé,Avé 1,Kévé,ANYRON,Plantation de Teck de Kpodjo,1999,Prive - individuel,POINT (0.9836833333333334 6.506448333333333)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e1b,Maritime,Avé,Avé 1,Assahoun,LOMOE_DZEMELEKOPE,Plantation de Teck de Noudoukou,1996,Prive - individuel,POINT (0.9296445038751034 6.5186169106120255)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e1c,Maritime,Avé,Avé 1,Assahoun,LOMOE_DZEMELEKOPE,Plantation de Teck de Sodjehoun,1997,Prive - individuel,POINT (0.930108707770347 6.517857950521554)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e1d,Maritime,Avé,Avé 1,Assahoun,MEKOVIADE,Plantation de Techeraie D'okiki,2003,Prive - individuel,POINT (0.9053866666666667 6.48167)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e1e,Maritime,Avé,Avé 1,Assahoun,LOMOE-DZEMELEKOPE,Plantation D'ouro-tagba,1991,Prive - individuel,POINT (0.929025 6.5202350000000004)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e1f,Maritime,Avé,Avé 1,Assahoun,AMOTOKPE,Plantation de Techeraie D'adokpa,1988,Prive - individuel,POINT (0.9187782713914007 6.498284033969043)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e20,Maritime,Avé,Avé 1,Assahoun,ANAGOKOPÉ,Plantation de Techeraie D'amato,1988,Prive - individuel,POINT (0.9274663925314048 6.4988111579415)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e21,Maritime,Avé,Avé 1,Assahoun,ABOLEBE,Plantation de Palmier Kangbeni,1971,Prive - individuel,POINT (0.9402566666666666 6.494626666666666)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e22,Maritime,Avé,Avé 1,Assahoun,FERME D'AKAPO,Plantation de Techeraie D'akapo,1991,Prive - individuel,POINT (0.8977183333333334 6.425598333333332)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e23,Maritime,Avé,Avé 1,Assahoun,DJEGBAKONDJI,Plantation de Teck de Ndanikou,Nsp,Prive - individuel,POINT (0.8753623198824941 6.480040057384645)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e24,Maritime,Avé,Avé 1,Assahoun,DZEGBAKONDZI,Plantation de Techeraie Communautaire,1988,Prive - Collectivite coutumiere,POINT (0.872657690969182 6.472355147259274)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e25,Maritime,Avé,Avé 1,Assahoun,DZEGBAKONDZI,Plantation de Palmierde Togbuidzegba,2000,Prive - individuel,POINT (0.8757644592063218 6.473123701116511)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e26,Maritime,Avé,Avé 1,Assahoun,DZEGBAKONDZI,Plantation de Palmier Dzegba,2013,Prive - individuel,POINT (0.8769460931523578 6.472729138156618)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e27,Maritime,Avé,Avé 1,Assahoun,DZEGBAKONDZI,Plantation de Palmier Dzegba,1988,Prive - individuel,POINT (0.8779168728779517 6.471416475496874)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e28,Maritime,Avé,Avé 1,Assahoun,YEKPLEKONDZI,Plantation de Palmier Dgba,1988,Prive - individuel,POINT (0.8760438996039038 6.463101759126261)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e29,Maritime,Avé,Avé 1,Tovégan,HAVA,Plantation de Bananière de Lare,2015,Prive - individuel,POINT (0.96017 6.630575)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e2a,Maritime,Avé,Avé 1,Tovégan,LOMOE-DZEMELEKOPE,Plantation Techeraie de Siamon,2003,Prive - individuel,POINT (0.9257178202632538 6.521881037738396)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e2b,Maritime,Avé,Avé 1,Tovégan,LOMOE-DZEMELEKOPE,Plantation de Siamon,2003,Prive - individuel,POINT (0.9254278014560697 6.5235498443694295)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e2c,Maritime,Avé,Avé 1,Tovégan,AGNAVÉ,Plantation de Palmier Ahoto,1914,Prive - individuel,POINT (0.8986741702212449 6.599199773406999)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e2d,Maritime,Avé,Avé 1,Tovégan,EKLOUKOPÉ,Plantation de PalmierGomela,1971,Prive - individuel,POINT (0.9050225918123198 6.603595120097017)
