FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,cooperative_nom,cooperative_statut,cooperative_type,geometry
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60c4,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kotokou,Coopérative Gpc Hezouwe,{Cooperative production},Nsp,POINT (0.8586183333333334 7.887698333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60c3,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative K'latawe,{Cooperative production},Nsp,POINT (0.8515125713212356 7.927999338762984)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60c2,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative Wolatsakpe,{Cooperative production},Nsp,POINT (0.8516008270478227 7.927981538610887)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60c1,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Agbedji,Coopérative Gnabana,{Cooperative production},Nsp,POINT (0.8985299999999999 7.943614999999999)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60c0,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Assanoukoussiè,Coopérative Gpc Assanoukoussiè,{Cooperative production},Nsp,POINT (0.92923 7.912045000000001)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60bf,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Assanoukoussiè,Coopérative Madjatom,"{Cooperative production,tontine,entraide}",Cooperative avec conseil d administration,POINT (0.9296731828251954 7.912439546850849)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60be,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Lakouda,Coopérative Gnabana,{Cooperative production},Cooperative avec conseil d administration,POINT (0.9819233333333333 7.966359999999999)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60bd,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Lakouda,Coopérative Teouvema,{Cooperative production},Cooperative avec conseil d administration,POINT (0.9824732575110688 7.965255858409581)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60bc,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Lakouda,Coopérative Solim,{Cooperative production},Cooperative avec conseil d administration,POINT (0.9813169522426027 7.966325976777778)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60bb,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Lakouda,Coopérative Gpc lakouda,{Cooperative production},Cooperative avec conseil d administration,POINT (0.9817057973230724 7.966449682469355)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60ba,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Lakouda,Coopérative Au Nom de Dieu,{Cooperative production},Cooperative avec conseil d administration,POINT (0.982058063119031 7.966432084332563)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60b9,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina-barrage,Coopérative Tangbekoun,{Cooperative production},Cooperative avec conseil d administration,POINT (0.8779833333333333 7.93396)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60b8,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina-barrage,Coopérative Tinsoklin,{Cooperative production},Cooperative avec conseil d administration,POINT (0.87794 7.933873333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60b7,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina-barrage,Coopérative Tindi,{Cooperative production},Cooperative avec conseil d administration,POINT (0.8766233333333333 7.932626666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60b6,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina-barrage,Coopérative Gpc Kamina-barrage,{Cooperative production},Cooperative simple,POINT (0.877285 7.932285)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60b5,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Assouma Copé,Coopérative Akpar,"{Cooperative production,entraide}",Cooperative avec conseil d administration,POINT (0.9156966666666667 7.949479999999999)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60b4,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Assiuma_cope,Coopérative Gpc Assouma-copé,{Cooperative production},Cooperative simple,POINT (0.94830690069336 7.9611718377517535)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60b3,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Assouma-copé,Coopérative Espoir,"{Cooperative production,entraide}",Cooperative avec conseil d administration,POINT (0.9581566226084064 7.930035948181012)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60b2,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kouma- Copé,Coopérative Kouma-cope,"{Cooperative production,entraide}",Cooperative simple,POINT (0.96841 7.969574999999999)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60b1,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Natchamba,Coopérative Gpc Natchamba-cope,{autre},Cooperative avec conseil d administration,POINT (0.9602983333333334 7.9652199999999995)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60b0,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Natchamba-copé,Coopérative Assowe 1,{Cooperative production},Cooperative avec conseil d administration,POINT (0.9600895646501386 7.964664171910048)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60af,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative Gninkawe,"{Cooperative production,entraide,tontine}",Cooperative avec conseil d administration,POINT (0.8542633333333334 7.92226)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60ae,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative Up-gpc de Kougnohou,{Cooperative production},Cooperative avec conseil d administration,POINT (0.8512616666666666 7.923943333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60ad,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative Ne Ri Youre,"{Cooperative production,entraide}",Cooperative avec conseil d administration,POINT (0.8557716666666667 7.924348333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60ac,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Lakouda,Coopérative Essosina,{Cooperative production},Cooperative avec conseil d administration,POINT (0.9818549999999999 7.966421666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60ab,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Lakouda,Coopérative Dissinadama,{Cooperative production},Cooperative avec conseil d administration,POINT (0.9817883333333334 7.966368333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60aa,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Lakouda,Coopérative Dignabana,{Cooperative production},Cooperative simple,POINT (0.981835 7.966371666666667)
